Victim.age,Victim.injury,outcome_group
15.0,injured,survived
12.0,fatal,fatal
18.0,injured,survived
22.0,fatal,fatal
17.0,fatal,fatal
33.0,fatal,fatal
17.0,injured,survived
13.0,injured,survived
36.0,injured,survived
18.0,fatal,fatal
30.0,fatal,fatal
12.0,injured,survived
15.0,injured,survived
13.0,injured,survived
22.0,injured,survived
15.0,fatal,fatal
16.0,injured,survived
37.0,fatal,fatal
21.0,fatal,fatal
16.0,fatal,fatal
25.0,fatal,fatal
11.0,fatal,fatal
25.0,uninjured,survived
16.0,fatal,fatal
13.0,injured,survived
14.0,fatal,fatal
11.0,fatal,fatal
12.0,injured,survived
21.0,fatal,fatal
13.0,fatal,fatal
16.0,injured,survived
20.0,fatal,fatal
33.0,fatal,fatal
26.0,injured,survived
16.0,fatal,fatal
16.0,fatal,fatal
23.0,injured,survived
35.0,injured,survived
13.0,injured,survived
23.0,injured,survived
8.0,injured,survived
27.0,fatal,fatal
41.0,fatal,fatal
26.0,fatal,fatal
28.0,uninjured,survived
19.0,injured,survived
13.0,fatal,fatal
38.0,fatal,fatal
12.0,fatal,fatal
20.0,injured,survived
8.0,fatal,fatal
54.0,fatal,fatal
19.0,fatal,fatal
21.0,fatal,fatal
13.0,fatal,fatal
50.0,fatal,fatal
30.0,injured,survived
20.0,fatal,fatal
16.0,injured,survived
16.0,fatal,fatal
55.0,fatal,fatal
15.0,fatal,fatal
17.0,injured,survived
15.0,injured,survived
19.0,injured,survived
27.0,fatal,fatal
18.0,fatal,fatal
14.0,fatal,fatal
19.0,fatal,fatal
39.0,fatal,fatal
12.0,injured,survived
12.0,injured,survived
21.0,injured,survived
42.0,fatal,fatal
50.0,fatal,fatal
17.0,injured,survived
16.0,fatal,fatal
19.0,fatal,fatal
16.0,fatal,fatal
49.0,injured,survived
18.0,injured,survived
19.0,fatal,fatal
24.0,injured,survived
38.0,fatal,fatal
17.0,injured,survived
15.0,injured,survived
22.0,injured,survived
17.0,fatal,fatal
34.0,injured,survived
16.0,fatal,fatal
13.0,injured,survived
20.0,fatal,fatal
14.0,fatal,fatal
12.0,injured,survived
20.0,injured,survived
22.0,fatal,fatal
16.0,fatal,fatal
14.0,fatal,fatal
16.0,injured,survived
16.0,fatal,fatal
16.0,injured,survived
16.0,fatal,fatal
32.0,fatal,fatal
33.0,fatal,fatal
16.0,injured,survived
18.0,fatal,fatal
18.0,fatal,fatal
17.0,injured,survived
24.0,injured,survived
11.0,uninjured,survived
17.0,injured,survived
27.0,injured,survived
40.0,injured,survived
20.0,fatal,fatal
17.0,injured,survived
22.0,injured,survived
13.0,fatal,fatal
55.0,fatal,fatal
56.0,injured,survived
23.0,fatal,fatal
28.0,fatal,fatal
24.0,injured,survived
15.0,fatal,fatal
14.0,injured,survived
24.0,injured,survived
12.0,injured,survived
14.0,fatal,fatal
18.0,injured,survived
17.0,fatal,fatal
30.0,fatal,fatal
15.0,injured,survived
30.0,fatal,fatal
23.0,injured,survived
12.0,fatal,fatal
13.0,injured,survived
9.0,injured,survived
16.0,fatal,fatal
41.0,injured,survived
28.0,fatal,fatal
32.0,uninjured,survived
0.0,uninjured,survived
20.0,fatal,fatal
13.0,fatal,fatal
22.0,injured,survived
18.0,injured,survived
21.0,injured,survived
34.0,fatal,fatal
36.0,injured,survived
50.0,fatal,fatal
21.0,injured,survived
18.0,uninjured,survived
20.0,fatal,fatal
20.0,injured,survived
14.0,injured,survived
23.0,injured,survived
56.0,fatal,fatal
42.0,fatal,fatal
21.0,fatal,fatal
32.0,uninjured,survived
23.0,injured,survived
25.0,injured,survived
25.0,injured,survived
23.0,injured,survived
26.0,uninjured,survived
26.0,injured,survived
16.0,injured,survived
23.0,fatal,fatal
30.0,injured,survived
13.0,fatal,fatal
25.0,fatal,fatal
22.0,fatal,fatal
28.0,injured,survived
18.0,injured,survived
14.0,fatal,fatal
19.0,uninjured,survived
25.0,uninjured,survived
26.0,fatal,fatal
15.0,injured,survived
22.0,injured,survived
28.0,injured,survived
36.0,injured,survived
14.0,injured,survived
17.0,injured,survived
24.0,fatal,fatal
22.0,fatal,fatal
20.0,injured,survived
18.0,injured,survived
22.0,fatal,fatal
16.0,injured,survived
43.0,injured,survived
19.0,injured,survived
19.0,injured,survived
29.0,fatal,fatal
13.0,fatal,fatal
17.0,injured,survived
44.0,injured,survived
24.0,injured,survived
27.0,injured,survived
33.0,injured,survived
40.0,injured,survived
24.0,injured,survived
21.0,injured,survived
21.0,injured,survived
24.0,uninjured,survived
22.0,fatal,fatal
24.0,injured,survived
18.0,fatal,fatal
17.0,injured,survived
19.0,injured,survived
35.0,injured,survived
26.0,uninjured,survived
16.0,fatal,fatal
32.0,fatal,fatal
18.0,injured,survived
25.0,injured,survived
23.0,injured,survived
19.0,injured,survived
19.0,injured,survived
25.0,injured,survived
24.0,injured,survived
40.0,injured,survived
13.0,injured,survived
40.0,fatal,fatal
30.0,injured,survived
19.0,injured,survived
21.0,injured,survived
23.0,fatal,fatal
12.0,injured,survived
26.0,uninjured,survived
21.0,injured,survived
37.0,injured,survived
15.0,injured,survived
21.0,injured,survived
19.0,fatal,fatal
18.0,injured,survived
45.0,injured,survived
18.0,injured,survived
24.0,injured,survived
19.0,injured,survived
43.0,injured,survived
16.0,injured,survived
25.0,fatal,fatal
30.0,fatal,fatal
32.0,injured,survived
17.0,fatal,fatal
22.0,injured,survived
12.0,fatal,fatal
45.0,injured,survived
21.0,injured,survived
37.0,fatal,fatal
20.0,injured,survived
17.0,injured,survived
24.0,injured,survived
43.0,fatal,fatal
74.0,fatal,fatal
19.0,injured,survived
26.0,fatal,fatal
17.0,injured,survived
15.0,uninjured,survived
34.0,uninjured,survived
15.0,injured,survived
18.0,injured,survived
42.0,injured,survived
21.0,injured,survived
27.0,uninjured,survived
37.0,injured,survived
32.0,fatal,fatal
20.0,fatal,fatal
33.0,uninjured,survived
21.0,fatal,fatal
24.0,fatal,fatal
10.0,injured,survived
27.0,injured,survived
25.0,injured,survived
27.0,injured,survived
25.0,uninjured,survived
15.0,fatal,fatal
36.0,uninjured,survived
20.0,injured,survived
33.0,fatal,fatal
13.0,injured,survived
41.0,injured,survived
39.0,uninjured,survived
38.0,injured,survived
17.0,injured,survived
19.0,injured,survived
47.0,fatal,fatal
10.0,injured,survived
15.0,injured,survived
35.0,injured,survived
17.0,fatal,fatal
62.0,fatal,fatal
19.0,injured,survived
30.0,uninjured,survived
17.0,injured,survived
32.0,injured,survived
27.0,fatal,fatal
17.0,uninjured,survived
17.0,uninjured,survived
31.0,injured,survived
32.0,injured,survived
10.0,injured,survived
17.0,injured,survived
31.0,uninjured,survived
29.0,uninjured,survived
36.0,fatal,fatal
33.0,injured,survived
44.0,injured,survived
13.0,injured,survived
26.0,injured,survived
20.0,injured,survived
26.0,injured,survived
22.0,injured,survived
14.0,uninjured,survived
45.0,uninjured,survived
29.0,injured,survived
18.0,injured,survived
19.0,fatal,fatal
14.0,injured,survived
19.0,injured,survived
22.0,uninjured,survived
24.0,uninjured,survived
17.0,injured,survived
16.0,injured,survived
28.0,fatal,fatal
21.0,injured,survived
32.0,uninjured,survived
60.0,injured,survived
35.0,fatal,fatal
31.0,fatal,fatal
28.0,fatal,fatal
13.0,uninjured,survived
22.0,injured,survived
39.0,injured,survived
23.0,injured,survived
34.0,uninjured,survived
14.0,injured,survived
35.0,injured,survived
29.0,uninjured,survived
49.0,uninjured,survived
29.0,fatal,fatal
15.0,injured,survived
35.0,injured,survived
19.0,injured,survived
24.0,injured,survived
13.0,injured,survived
40.0,injured,survived
24.0,injured,survived
7.0,injured,survived
47.0,injured,survived
16.0,injured,survived
11.0,injured,survived
47.0,uninjured,survived
12.0,injured,survived
18.0,injured,survived
27.0,injured,survived
8.0,injured,survived
32.0,uninjured,survived
30.0,injured,survived
20.0,injured,survived
49.0,uninjured,survived
18.0,injured,survived
21.0,uninjured,survived
42.0,injured,survived
4.0,injured,survived
18.0,injured,survived
8.0,injured,survived
34.0,injured,survived
45.0,uninjured,survived
31.0,injured,survived
26.0,fatal,fatal
37.0,injured,survived
21.0,injured,survived
35.0,injured,survived
22.0,fatal,fatal
34.0,uninjured,survived
57.0,uninjured,survived
26.0,injured,survived
51.0,injured,survived
26.0,injured,survived
20.0,injured,survived
38.0,uninjured,survived
61.0,injured,survived
11.0,injured,survived
17.0,fatal,fatal
25.0,fatal,fatal
28.0,uninjured,survived
52.0,injured,survived
40.0,uninjured,survived
27.0,uninjured,survived
49.0,fatal,fatal
38.0,injured,survived
35.0,uninjured,survived
40.0,injured,survived
19.0,injured,survived
40.0,injured,survived
32.0,injured,survived
37.0,injured,survived
31.0,uninjured,survived
20.0,injured,survived
49.0,injured,survived
14.0,injured,survived
36.0,uninjured,survived
32.0,injured,survived
20.0,injured,survived
36.0,injured,survived
35.0,uninjured,survived
23.0,fatal,fatal
46.0,injured,survived
34.0,uninjured,survived
18.0,injured,survived
35.0,injured,survived
23.0,fatal,fatal
24.0,injured,survived
37.0,injured,survived
84.0,fatal,fatal
37.0,uninjured,survived
12.0,injured,survived
22.0,injured,survived
15.0,injured,survived
15.0,injured,survived
34.0,injured,survived
8.0,injured,survived
46.0,injured,survived
22.0,injured,survived
7.0,injured,survived
38.0,injured,survived
47.0,injured,survived
17.0,injured,survived
33.0,injured,survived
29.0,fatal,fatal
42.0,injured,survived
33.0,uninjured,survived
59.0,injured,survived
14.0,injured,survived
38.0,fatal,fatal
18.0,fatal,fatal
18.0,injured,survived
31.0,uninjured,survived
26.0,fatal,fatal
20.0,injured,survived
40.0,uninjured,survived
23.0,fatal,fatal
28.0,uninjured,survived
15.0,injured,survived
44.0,uninjured,survived
26.0,injured,survived
40.0,injured,survived
18.0,injured,survived
57.0,uninjured,survived
44.0,injured,survived
21.0,fatal,fatal
52.0,injured,survived
18.0,injured,survived
15.0,injured,survived
46.0,injured,survived
15.0,injured,survived
25.0,injured,survived
44.0,uninjured,survived
41.0,injured,survived
26.0,injured,survived
42.0,injured,survived
59.0,injured,survived
12.0,injured,survived
38.0,injured,survived
30.0,injured,survived
48.0,uninjured,survived
15.0,injured,survived
31.0,injured,survived
52.0,injured,survived
14.0,injured,survived
13.0,injured,survived
31.0,injured,survived
42.0,injured,survived
66.0,injured,survived
16.0,fatal,fatal
37.0,injured,survived
31.0,uninjured,survived
30.0,uninjured,survived
51.0,uninjured,survived
10.0,uninjured,survived
52.0,fatal,fatal
29.0,uninjured,survived
25.0,injured,survived
31.0,injured,survived
13.0,injured,survived
19.0,injured,survived
24.0,uninjured,survived
31.0,injured,survived
33.0,injured,survived
41.0,uninjured,survived
15.0,injured,survived
47.0,uninjured,survived
17.0,injured,survived
21.0,injured,survived
40.0,uninjured,survived
52.0,injured,survived
14.0,injured,survived
42.0,uninjured,survived
35.0,injured,survived
27.0,uninjured,survived
17.0,uninjured,survived
25.0,injured,survived
18.0,injured,survived
55.0,injured,survived
39.0,injured,survived
37.0,uninjured,survived
9.0,injured,survived
18.0,uninjured,survived
55.0,injured,survived
46.0,injured,survived
47.0,injured,survived
31.0,fatal,fatal
15.0,injured,survived
22.0,injured,survived
19.0,injured,survived
50.0,fatal,fatal
58.0,injured,survived
48.0,injured,survived
17.0,injured,survived
50.0,fatal,fatal
21.0,fatal,fatal
32.0,fatal,fatal
49.0,uninjured,survived
10.0,injured,survived
63.0,injured,survived
14.0,injured,survived
50.0,injured,survived
28.0,injured,survived
44.0,injured,survived
26.0,injured,survived
29.0,uninjured,survived
20.0,injured,survived
52.0,uninjured,survived
32.0,fatal,fatal
27.0,injured,survived
57.0,injured,survived
30.0,uninjured,survived
42.0,injured,survived
61.0,uninjured,survived
47.0,injured,survived
24.0,fatal,fatal
34.0,injured,survived
11.0,uninjured,survived
29.0,injured,survived
31.0,injured,survived
28.0,injured,survived
65.0,injured,survived
29.0,injured,survived
55.0,injured,survived
19.0,fatal,fatal
35.0,fatal,fatal
33.0,injured,survived
26.0,injured,survived
28.0,fatal,fatal
70.0,uninjured,survived
42.0,uninjured,survived
40.0,injured,survived
63.0,fatal,fatal
35.0,uninjured,survived
29.0,injured,survived
39.0,injured,survived
15.0,injured,survived
31.0,injured,survived
50.0,fatal,fatal
13.0,injured,survived
13.0,injured,survived
20.0,injured,survived
23.0,injured,survived
13.0,injured,survived
17.0,fatal,fatal
18.0,fatal,fatal
57.0,uninjured,survived
36.0,uninjured,survived
17.0,injured,survived
35.0,injured,survived
41.0,fatal,fatal
43.0,injured,survived
8.0,injured,survived
26.0,injured,survived
46.0,injured,survived
37.0,injured,survived
19.0,injured,survived
71.0,uninjured,survived
21.0,injured,survived
47.0,fatal,fatal
51.0,injured,survived
51.0,uninjured,survived
40.0,injured,survived
32.0,injured,survived
38.0,injured,survived
42.0,injured,survived
65.0,injured,survived
7.0,injured,survived
50.0,injured,survived
18.0,injured,survived
11.0,injured,survived
31.0,injured,survived
22.0,injured,survived
12.0,injured,survived
29.0,fatal,fatal
60.0,fatal,fatal
19.0,injured,survived
23.0,uninjured,survived
18.0,uninjured,survived
20.0,injured,survived
36.0,injured,survived
10.0,injured,survived
65.0,injured,survived
35.0,uninjured,survived
61.0,injured,survived
55.0,injured,survived
19.0,injured,survived
57.0,injured,survived
25.0,injured,survived
30.0,injured,survived
46.0,injured,survived
17.0,fatal,fatal
31.0,injured,survived
25.0,injured,survived
28.0,injured,survived
14.0,uninjured,survived
35.0,injured,survived
17.0,injured,survived
55.0,injured,survived
18.0,injured,survived
41.0,injured,survived
37.0,injured,survived
60.0,uninjured,survived
19.0,injured,survived
37.0,uninjured,survived
17.0,injured,survived
28.0,injured,survived
43.0,injured,survived
24.0,injured,survived
17.0,injured,survived
20.0,injured,survived
68.0,injured,survived
15.0,injured,survived
27.0,uninjured,survived
50.0,uninjured,survived
41.0,injured,survived
25.0,injured,survived
18.0,injured,survived
53.0,injured,survived
21.0,injured,survived
54.0,injured,survived
43.0,injured,survived
29.0,uninjured,survived
17.0,uninjured,survived
30.0,injured,survived
42.0,injured,survived
60.0,injured,survived
64.0,injured,survived
55.0,injured,survived
23.0,fatal,fatal
10.0,uninjured,survived
21.0,uninjured,survived
23.0,injured,survived
60.0,fatal,fatal
16.0,uninjured,survived
13.0,uninjured,survived
13.0,uninjured,survived
29.0,injured,survived
36.0,fatal,fatal
10.0,injured,survived
55.0,uninjured,survived
15.0,fatal,fatal
35.0,injured,survived
43.0,uninjured,survived
46.0,uninjured,survived
45.0,injured,survived
28.0,uninjured,survived
59.0,injured,survived
50.0,fatal,fatal
13.0,injured,survived
29.0,injured,survived
46.0,injured,survived
50.0,injured,survived
28.0,uninjured,survived
63.0,injured,survived
33.0,injured,survived
48.0,injured,survived
10.0,injured,survived
25.0,injured,survived
25.0,injured,survived
32.0,injured,survived
31.0,fatal,fatal
47.0,injured,survived
37.0,injured,survived
57.0,fatal,fatal
15.0,injured,survived
24.0,injured,survived
42.0,injured,survived
11.0,injured,survived
35.0,fatal,fatal
20.0,injured,survived
